"","x"
"1517",1675
"1518",1698
"1519",1632
"1520",1700
"1521",1650
"1522",1638
"1523",1660
"1524",1621
"1525",1711
"1526",899
"1527",916
"1528",925
"1529",946
"1530",1651
"1531",1662
"1532",928
"1533",936
"1534",880
"1535",937
"1536",927
"1537",947
"1538",930
"1539",878
"1540",903
"1541",871
"1542",2127
"1543",867
"1544",883
"1545",889
"1546",895
"1547",914
"1548",942
"1549",949
"1550",2167
"1551",919
"1552",948
"1553",220
"1554",225
"1555",247
"1556",261
"1557",252
"1558",1766
"1559",228
"1560",1791
"1561",227
"1562",1780
"1563",1787
"1564",1768
"1565",1772
"1566",1788
"1567",1777
"1568",1762
"1569",1794
"1570",1790
"1571",1776
"1572",1792
"1573",1785
"1574",1783
"1575",219
"1576",256
"1577",272
"1578",250
"1579",77
"1580",68
"1581",1765
"1582",1779
"1583",1786
"1584",258
"1585",2762
"1586",233
"1587",273
"1588",259
"1589",255
"1590",268
"1591",257
"1592",239
"1593",231
"1594",262
"1595",243
"1596",271
"1597",269
"1598",217
"1599",244
"1600",267
"1601",229
"1602",221
"1603",266
"1604",892
"1605",901
"1606",888
"1607",882
"1608",896
"1609",909
"1610",248
"1611",277
"1612",260
"1613",278
"1614",251
"1615",222
"1616",240
"1617",241
"1618",245
"1619",270
"1620",235
"1621",265
"1622",242
"1623",224
"1624",249
"1625",275
"1626",226
"1627",246
"1628",263
"1629",238
"1630",230
"1631",276
"1632",237
"1633",234
"1634",223
"1635",232
"1636",216
"1637",218
"1638",236
"1639",253
"1640",279
"1641",264
"1642",274
"1643",254
"1644",1637
"1645",1682
"1646",1627
"1647",1701
"1648",1643
"1649",2379
"1650",2380
"1651",2374
"1652",2337
"1653",3091
"1654",2368
"1655",3088
"1656",1566
"1657",1608
"1658",1616
"1659",1597
"1660",1599
"1661",1578
"1662",1583
"1663",1587
"1664",1594
"1665",1568
"1666",1586
"1667",1589
"1668",1603
"1669",1571
"1670",1614
"1671",1601
"1672",1590
"1673",1585
"1674",1567
"1675",1600
"1676",1572
"1677",1615
"1678",1582
"1679",1579
"1680",1591
"1681",1609
"1682",557
"1683",545
"1684",526
"1685",528
"1686",2945
"1687",2952
"1688",2929
