"fips","name","long","lat","tz","area","children","distance"
"21005","Anderson County, KY",-84.9915748990758,38.0075282206472,1,201.83324393717,2597,18.0622185434011
"21239","Woodford County, KY",-84.7417121334409,38.0417552281721,1,188.828760298826,2740,13.8349584869418
"21073","Franklin County, KY",-84.8789900603589,38.2387706896922,1,207.751158749528,4903,15.5102377778815
"21209","Scott County, KY",-84.5816351863863,38.2962305113303,1,281.770298551679,6747,16.6480721733862
"21187","Owen County, KY",-84.8240461876769,38.5167914315608,1,351.108018793183,1162,20.1131071924993
"21081","Grant County, KY",-84.6241615131765,38.649617288511,1,257.965064557767,3513,14.1794883490351
"21117","Kenton County, KY",-84.5324871044363,38.9395169617944,1,160.251949959724,20588,20.6005121616044
"21015","Boone County, KY",-84.7262187742209,38.9706500928567,1,246.215988227066,16511,10.6533172860312
"18115","Ohio County, IN",-84.9645641158739,38.9494660768705,7,86.1401170679506,610,12.9195561165756
"18155","Switzerland County, IN",-85.0322922696462,38.8254156997374,1,220.661141954045,1416,9.30359255726764
"21077","Gallatin County, KY",-84.8558381969464,38.7539869059529,1,98.3400224953156,1092,10.7248481801051
"21041","Carroll County, KY",-85.1260107386237,38.6659953359023,1,128.569661657636,1397,15.8130022620621
"21223","Trimble County, KY",-85.3377597226578,38.610564868029,7,151.647884978128,961,12.0768579096375
"21103","Henry County, KY",-85.1158750726588,38.4494268795761,1,286.275739312178,1761,16.3727244055883
"21185","Oldham County, KY",-85.448221999733,38.3979108948795,1,187.233224402717,6669,18.3802202871677
"18019","Clark County, IN",-85.7039984805581,38.4800723482113,7,372.830428939691,12927,14.9884226490685
"18143","Scott County, IN",-85.7462785925557,38.6867207826388,7,190.3970304327,2200,14.4367206389429
"18077","Jefferson County, IN",-85.4363338296485,38.7857623941371,7,360.632290315804,3362,18.0851922491937
"18079","Jennings County, IN",-85.6271078356018,38.9958888320615,7,376.5902265088,3405,17.7727022778856
"18071","Jackson County, IN",-86.0389121351226,38.9076670284228,7,509.314809171074,5184,23.0009354919604
"18013","Brown County, IN",-86.2286890906899,39.1960558934646,7,311.987478969546,1347,22.3598655103933
"18005","Bartholomew County, IN",-85.8970619603134,39.205182119394,7,406.893993424549,10105,17.8111320863634
"18145","Shelby County, IN",-85.7915857013233,39.5230562298625,7,411.159769378246,4955,22.6448160333193
"18081","Johnson County, IN",-86.1014910688961,39.4899442612652,7,320.429818498279,18726,16.7185121860941
"18109","Morgan County, IN",-86.4457462118332,39.4789931784953,7,403.988155374196,7756,18.4187192331729
"18097","Marion County, IN",-86.1382632476308,39.7816362422845,7,396.37715943028,120805,26.5518730966716
"18011","Boone County, IN",-86.4684164574005,40.050930402403,7,422.911648424517,7798,25.550632011315
"18063","Hendricks County, IN",-86.5103728280184,39.7671900853895,7,406.893328942734,18511,19.7026790797114
"18133","Putnam County, IN",-86.8451846774663,39.6643866224918,7,480.537303316037,3285,19.1971625458942
"18121","Parke County, IN",-87.2037583320108,39.7720228578826,7,444.692169262507,1763,20.4967975389369
"18021","Clay County, IN",-87.1172350586004,39.3956183313036,7,357.573054650046,3181,26.3754610830559
"18167","Vigo County, IN",-87.3916902748801,39.4294456129957,7,403.474089693794,11578,14.871197867662
"18153","Sullivan County, IN",-87.4141446872618,39.089522577105,7,447.128810178206,1968,23.4806613669721
"18055","Greene County, IN",-86.9621787600011,39.0364452548177,7,542.509451520223,3406,24.5806327362697
"18119","Owen County, IN",-86.8390072442161,39.3114558696538,7,385.299757611629,2139,20.0912091815749
"18105","Monroe County, IN",-86.5241435751481,39.1613000371938,7,394.523681809489,11606,19.8147813324624
"18093","Lawrence County, IN",-86.4836162897374,38.8411263716719,7,449.178566692339,4894,22.1938222653978
"18175","Washington County, IN",-86.1044153278525,38.6018584393886,7,513.72531744943,2802,26.3111569261006
"18117","Orange County, IN",-86.4952309278941,38.5411892016551,7,398.387318851437,2079,21.57252818423
"18101","Martin County, IN",-86.8037539401519,38.7099130337305,5,335.760504321389,1048,20.3503867550538
"18027","Daviess County, IN",-87.0717583770701,38.7021561117281,5,429.488828039446,5162,14.495280955705
"18037","Dubois County, IN",-86.8792477188531,38.3659308014815,5,427.270214765581,4764,25.4291009015464
"18025","Crawford County, IN",-86.445188252845,38.2881440246753,9,305.639128204338,1162,24.186433487728
"18123","Perry County, IN",-86.6404598378635,38.0788338562717,9,381.727091789622,1998,17.9283858273991
"21091","Hancock County, KY",-86.782915983664,37.8377916540314,2,187.653549498341,988,18.3546995650457
"18147","Spencer County, IN",-87.0122602135723,38.0132240412017,2,396.793203811272,2207,17.417924402776
"21059","Daviess County, KY",-87.0901808516152,37.7302882469357,2,458.366413890603,12262,19.9733989934649
"21183","Ohio County, KY",-86.8536829482607,37.4775095915032,2,587.274113007414,2717,21.732380549972
"21031","Butler County, KY",-86.6874878705357,37.2094615264238,2,426.087883082984,1432,20.6262163064089
"21177","Muhlenberg County, KY",-87.146320531178,37.214258188751,2,467.081116831845,2950,25.3092490112697
"21107","Hopkins County, KY",-87.5467027101464,37.3094092423496,2,541.996017502953,5507,23.023509954181
"21149","McLean County, KY",-87.2680344332429,37.5301950963462,2,252.474642827607,1042,21.604997560554
"21101","Henderson County, KY",-87.573920209333,37.7934455316739,2,436.48208137913,5466,24.7157645290629
"21233","Webster County, KY",-87.6798995251063,37.5216835576374,2,331.943617301008,1560,19.6225697172663
"21225","Union County, KY",-87.9430000904797,37.661667136115,2,342.848944198435,1573,17.368536915153
"17069","Hardin County, IL",-88.2687302154479,37.5181064520655,2,177.528212282025,256,20.4344342330173
"17059","Gallatin County, IL",-88.2295386921762,37.7643093489705,2,323.070965758217,575,17.1152073831413
"17193","White County, IL",-88.1765746080342,38.0870619835086,2,494.766580221868,1570,22.4474219287268
"18129","Posey County, IN",-87.8646889417847,38.0209064971842,2,409.572459774728,2688,17.6105053421168
"18163","Vanderburgh County, IN",-87.5874885981379,38.026712988934,2,233.679629517681,20768,15.1290354620156
"18173","Warrick County, IN",-87.2753438767184,38.0918035667996,2,384.814397468412,7464,17.6040989179762
"18051","Gibson County, IN",-87.5839481010042,38.3063160364781,2,487.495001280141,3910,22.383958000474
"18125","Pike County, IN",-87.2357348725252,38.4011527361886,13,334.243259518284,1412,20.0118712837055
"18083","Knox County, IN",-87.419466502376,38.6886157620074,5,516.028828024234,3997,22.1860133476781
"17101","Lawrence County, IL",-87.7288403469242,38.719879138266,2,372.178103937319,1642,16.8602767009332
"17033","Crawford County, IL",-87.7595462352162,39.0032228999235,2,443.63048716853,1802,19.6153007642323
"17079","Jasper County, IL",-88.154370486451,39.0105427463198,2,494.515041229282,1088,21.2561718748913
"17159","Richland County, IL",-88.0847536632805,38.7124096936871,2,360.01887591677,1866,20.9053616016435
"17185","Wabash County, IL",-87.8492206516651,38.4427290087558,2,223.253776636063,1200,22.5536813005186
"17047","Edwards County, IL",-88.0572086315167,38.4135322763736,2,222.418677821652,726,11.463230208746
"17191","Wayne County, IL",-88.425864594401,38.4295535458482,2,713.813988512866,1784,20.0347314458806
"17025","Clay County, IL",-88.4891451264949,38.7538857208785,2,468.326021774671,1394,22.6324042954142
"17049","Effingham County, IL",-88.5896958428934,39.0593571093964,2,478.77735624045,3772,21.7575584638789
"17051","Fayette County, IL",-89.0245265749932,39.0007203805664,2,716.484988805605,2220,23.7428437318583
"17121","Marion County, IL",-88.9189920782977,38.6496320407103,2,572.374193254501,4574,24.8786705310723
"17027","Clinton County, IL",-89.4240548950083,38.6070193803671,2,474.084847439705,3850,27.4853118363752
"17189","Washington County, IL",-89.4096422005203,38.353050261861,2,562.573281079657,1526,17.5352588403263
"17145","Perry County, IL",-89.3685621945401,38.0851085331657,2,441.772731921924,1924,18.6154816476697
"17081","Jefferson County, IL",-88.9240025007593,38.2998005692157,2,571.16648655194,4299,28.3700437196455
"17055","Franklin County, IL",-88.9256781752094,37.991890857683,2,408.890333477245,4337,21.2374391614855
"17065","Hamilton County, IL",-88.5388337276519,38.0816364055498,2,434.665553734917,802,21.9911464593433
"17165","Saline County, IL",-88.5411970601856,37.7533299898498,2,379.826698123336,2574,22.6435353679616
"17199","Williamson County, IL",-88.9299402707761,37.7303351113784,2,420.17490381452,6908,21.3493846418209
"17087","Johnson County, IL",-88.881654186107,37.4593980198884,2,343.917047171309,1147,18.8723341442685
"17153","Pulaski County, IL",-89.130850008286,37.2263142251538,2,199.185263441229,542,21.1336821139195
"17181","Union County, IL",-89.2554893765344,37.4711960916663,2,413.459789203434,1854,18.2286677078108
"17077","Jackson County, IL",-89.3823772018738,37.7859645885728,2,584.071948886283,5486,22.7967783405287
"29157","Perry County, MO",-89.8274108843858,37.706607760341,2,474.355537099358,2155,24.9787645085804
"17157","Randolph County, IL",-89.8251553421932,38.0509913147736,2,575.50305510862,3053,23.7521644965008
"17133","Monroe County, IL",-90.1776103797234,38.2759437551973,2,385.016799555887,3216,24.6799227120738
"17163","St. Clair County, IL",-89.9306342735547,38.4699603310849,2,657.778961386815,31550,18.9453528342029
"29510","St. Louis city, MO",-90.2434922481774,38.6355573563026,2,61.953197151936,34416,20.4359281619574
"29099","Jefferson County, MO",-90.5387089210319,38.2592361694028,2,656.652569729364,26828,30.4991305772529
"29189","St. Louis County, MO",-90.4458374965829,38.6377004031927,2,507.771493205812,107160,26.5865101420509
"29183","St. Charles County, MO",-90.6682724115482,38.7798215934419,2,560.42460287588,44785,15.5123281476449
"29219","Warren County, MO",-91.1612466201885,38.7652947947432,2,428.600639406024,3955,26.638942589323
"29113","Lincoln County, MO",-90.9570386468417,39.0549990886506,2,626.557550490068,6889,22.8143289952896
"17013","Calhoun County, IL",-90.6636186818143,39.1688708552471,2,253.824684932627,451,17.6172336807546
"17061","Greene County, IL",-90.3888650026647,39.3590741406474,2,543.019216022579,1386,19.7296471963899
"17083","Jersey County, IL",-90.3539307253994,39.0886904646325,2,369.280887934269,2161,18.7463879793633
"17119","Madison County, IL",-89.9041317840911,38.8302336132158,2,715.733811998079,29050,30.0785675694975
"17005","Bond County, IL",-89.435348873351,38.8882962225359,2,380.279216803045,1573,25.598380308673
"17117","Macoupin County, IL",-89.9243009305127,39.2609446783844,2,862.918891546572,4560,36.770077103764
"17135","Montgomery County, IL",-89.4780925378999,39.2319884481041,2,703.686478699703,2875,24.0177463074947
"17021","Christian County, IL",-89.2778040711838,39.5458317215967,2,709.377333010228,3446,24.1603612319734
"17167","Sangamon County, IL",-89.6587389830641,39.7583667096011,2,868.301859501587,22168,25.0538780494898
"17107","Logan County, IL",-89.3663878391016,40.1258157234801,2,618.056451232126,2764,29.7278497292987
"17039","De Witt County, IL",-88.9095968167681,40.1751451943186,2,397.547607274537,1763,24.4228941937829
"17113","McLean County, IL",-88.8462111252614,40.4899698707579,2,1183.34951082073,19647,21.9787015997199
"17053","Ford County, IL",-88.2235076869088,40.5970692206601,2,485.608297638092,1572,33.600584540113
"17019","Champaign County, IL",-88.2004661469176,40.1391943764667,2,996.236191215565,20250,31.6161829460772
"17041","Douglas County, IL",-88.2185419459536,39.7676805176097,2,416.664697352607,2278,25.6501081027175
"17147","Piatt County, IL",-88.5931933875757,40.0136058353368,2,439.170006459991,1764,26.1597444012086
"17115","Macon County, IL",-88.9634250525319,39.8606491329993,2,580.687415588174,12390,22.3158168074333
"17139","Moultrie County, IL",-88.6209996870571,39.6418745126138,2,335.943207476732,1799,23.6714342116132
"17173","Shelby County, IL",-88.8061112238669,39.3913352724657,2,758.53558995682,2337,19.9143619966763
"17029","Coles County, IL",-88.2235855668035,39.5194908377512,2,508.287734185776,4752,32.3838256761552
"17035","Cumberland County, IL",-88.2401157956274,39.2743242356753,2,346.025946427993,1098,16.9364689132458
"17023","Clark County, IL",-87.7870573846174,39.3342529248287,2,501.420856715825,1752,24.6314256254132
"17045","Edgar County, IL",-87.7475957475607,39.6809133834036,2,623.37421116578,1894,24.0083660156614
